iris,taux_pauvrete_pre,com
123000105,14.061840674123237,12300
123000106,8.373093756979852,12300
130010101,16.257504568511337,13001
130010102,27.138912407713605,13001
130010103,18.990408712630963,13001
130010104,22.814074350958474,13001
130010105,25.8369250759457,13001
130010202,15.166984868754746,13001
130010203,10.27427380908743,13001
130010204,,13001
130010205,22.400182023961833,13001
130010206,13.05888182034571,13001
130010301,13.879589557138194,13001
130010302,17.4521354933726,13001
130010303,,13001
130010304,12.093898756148436,13001
130010305,10.340510766149222,13001
130010306,26.948542375297933,13001
130010307,9.853639341207154,13001
130010401,,13001
130010402,9.670049572061394,13001
130010403,22.596879600840225,13001
130010404,10.3934669636229,13001
130010502,,13001
130010503,,13001
130010504,15.406516432615744,13001
130010505,,13001
130010506,,13001
130010605,11.298449840344112,13001
130010707,8.185150686957348,13001
130010709,8.747370465652773,13001
130010710,,13001
130010711,9.382710056265273,13001
130010801,7.598461450762908,13001
130010802,7.979147124906878,13001
130010803,5.048741781908864,13001
130010804,7.070676167143989,13001
130010901,14.964746470923098,13001
130010902,8.155631565715867,13001
130010903,6.814308215142112,13001
130010905,9.302326394905778,13001
130010906,,13001
130010907,7.985189662122978,13001
130010908,8.42041697509294,13001
130040101,32.231828420085925,13004
130040102,24.97451017857162,13004
130040103,29.310620869454482,13004
130040104,23.19764159592582,13004
130040105,40.481891146280795,13004
130040107,16.363282681386803,13004
130040110,19.815798396471134,13004
130040111,19.33623073685457,13004
130040112,21.653791510410056,13004
130040113,52.1218715995647,13004
130040115,17.282430213464696,13004
130040116,21.02170262907595,13004
130040117,,13004
130040118,17.574425252943133,13004
130040119,10.371285371603449,13004
130040120,12.014929212138556,13004
130040121,13.4190570392351,13004
130040122,19.889460386289787,13004
130040123,17.02195743892014,13004
130040124,11.177207160354735,13004
130050101,22.934941440626705,13005
130050102,19.032741056156244,13005
130050201,13.785050075382154,13005
130050202,16.503774793851424,13005
130050301,17.052206274444025,13005
130050302,13.587581663710338,13005
130050401,10.293899190424272,13005
130050402,23.09202669650806,13005
