code_qpv,iris_controle,distance_score,niveau
QP041002,412690108,0.9999532930882753,commune
QP041002,412690105,0.9999579916033875,commune
QP041002,412690107,0.9999588002351192,commune
QP042004,420440103,0.9999042246623868,commune
QP042004,420440101,0.9999136322619602,commune
QP042004,420440102,0.9999142860829983,commune
QP042004,420440203,0.9999218406554706,commune
QP042005,422181804,0.9997152015640285,unite_urbaine
QP042005,422181801,0.9997345377596482,unite_urbaine
QP042005,422180602,0.9997652793130025,unite_urbaine
QP042005,422181803,0.9997711113275983,unite_urbaine
QP042005,422180603,0.9998273168917303,unite_urbaine
QP042006,422181804,0.9997209157529235,unite_urbaine
QP042006,422181801,0.9997402519485432,unite_urbaine
QP042006,422180602,0.9997709935018976,unite_urbaine
QP042006,422181803,0.9997768255164934,unite_urbaine
QP042006,422180603,0.9998330310806254,unite_urbaine
QP042007,421860101,0.9999365888951065,commune
QP042007,421860102,0.9999424852848352,commune
QP042007,421860106,0.9999505379930138,commune
QP042008,421860101,0.9999370592333776,commune
QP042008,421860102,0.9999429556231063,commune
QP042008,421860106,0.9999510083312849,commune
QP042009,422070302,0.9999010778033729,commune
QP042009,422070103,0.9999182017780461,commune
QP042009,422070105,0.9999184470156192,commune
QP042009,422070502,0.9999202463993021,commune
QP042009,422070303,0.9999205211728377,commune
QP042011,422181804,0.9997351928439681,commune
QP042011,422181801,0.9997545290395877,commune
QP042011,422180602,0.9997852705929421,commune
QP042011,422181803,0.9997911026075379,commune
QP042011,422180603,0.9998473081716699,commune
QP042012,422181804,0.9997354139088134,commune
QP042012,422181801,0.999754750104433,commune
QP042012,422180602,0.9997854916577874,commune
QP042012,422181803,0.9997913236723832,commune
QP042012,422180603,0.9998475292365152,commune
QP042013,422181804,0.9997337486585886,commune
QP042013,422181801,0.9997530848542082,commune
QP042013,422180602,0.9997838264075626,commune
QP042013,422181803,0.9997896584221584,commune
QP042013,422180603,0.9998458639862904,commune
QP042014,422181804,0.9997353559734222,commune
QP042014,422181801,0.9997546921690419,commune
QP042014,422180602,0.9997854337223963,commune
QP042014,422181803,0.9997912657369921,commune
QP042014,422180603,0.9998474713011241,commune
QP042015,422181804,0.9997348507033883,commune
QP042015,422181801,0.999754186899008,commune
QP042015,422180602,0.9997849284523623,commune
QP042015,422181803,0.9997907604669581,commune
QP042015,422180603,0.9998469660310901,commune
QP042016,422181804,0.9997319006636356,commune
QP042016,422181801,0.9997512368592553,commune
QP042016,422180602,0.9997819784126096,commune
QP042016,422181803,0.9997878104272054,commune
QP042016,422180603,0.9998440159913374,commune
QP042017,421870302,0.9998931567818887,commune
QP042017,421870801,0.9999033847062664,commune
QP042017,421870701,0.999930631722938,commune
QP042017,421870802,0.9999387519536561,commune
QP042017,421870702,0.9999412706438121,commune
QP042019,421870302,0.9998909736848455,commune
QP042019,421870801,0.9999012016092231,commune
QP042019,421870701,0.9999284486258947,commune
QP042019,421870802,0.9999365688566129,commune
QP042019,421870702,0.9999390875467689,commune
QP043001,431570107,0.9999246015884279,commune
QP043001,431570101,0.9999295505244519,commune
QP043001,431570105,0.9999503718480044,commune
QP043001,431570108,0.9999527436056911,commune
QP043001,431570106,0.9999624938484086,commune
QP043002,431570107,0.999924456677605,commune
QP043002,431570101,0.999929405613629,commune
QP043002,431570105,0.9999502269371815,commune
QP043002,431570108,0.9999525986948682,commune
QP043002,431570106,0.9999623489375857,commune
QP044001,441840119,0.9997756477972644,commune
QP044001,441840122,0.9998298982797875,commune
QP044001,441840112,0.9999338126616536,commune
QP044001,441840116,0.999934683997521,commune
QP044001,441840124,0.9999351809799415,commune
QP044005,441091006,0.9997715517397266,commune
QP044005,441090203,0.9997895185153051,commune
QP044005,441090202,0.9998735051481805,commune
QP044005,441090204,0.9998748725272107,commune
QP044005,441090804,0.9999193280979266,commune
QP044006,441091006,0.9997717882797581,commune
QP044006,441090203,0.9997897550553365,commune
QP044006,441090202,0.999873741688212,commune
QP044006,441090204,0.9998751090672422,commune
QP044006,441090804,0.9999195646379581,commune
QP044007,441091006,0.9997718727490664,commune
QP044007,441090203,0.9997898395246448,commune
QP044007,441090202,0.9998738261575203,commune
QP044007,441090204,0.9998751935365505,commune
QP044007,441090804,0.9999196491072664,commune
QP044008,441091006,0.9997718483758173,commune
QP044008,441090203,0.9997898151513958,commune
QP044008,441090202,0.9998738017842712,commune
QP044008,441090204,0.9998751691633014,commune
QP044008,441090804,0.9999196247340173,commune
QP044009,441091006,0.9997718125453193,commune
QP044009,441090203,0.9997897793208977,commune
QP044009,441090202,0.9998737659537732,commune
QP044009,441090204,0.9998751333328034,commune
QP044009,441090804,0.9999195889035193,commune
QP044010,441091006,0.9997718783498298,commune
QP044010,441090203,0.9997898451254082,commune
QP044010,441090202,0.9998738317582837,commune
QP044010,441090204,0.9998751991373139,commune
QP044010,441090804,0.9999196547080298,commune
QP044011,441091006,0.99977173416848,commune
QP044011,441090203,0.9997897009440584,commune
QP044011,441090202,0.9998736875769338,commune
QP044011,441090204,0.9998750549559641,commune
QP044011,441090804,0.9999195105266799,commune
QP044012,441091006,0.9997718965558784,commune
QP044012,441090203,0.9997898633314568,commune
QP044012,441090202,0.9998738499643323,commune
QP044012,441090204,0.9998752173433625,commune
QP044012,441090804,0.9999196729140784,commune
QP044013,441091006,0.9997719021947251,commune
QP044013,441090203,0.9997898689703035,commune
QP044013,441090202,0.999873855603179,commune
QP044013,441090204,0.9998752229822092,commune
QP044013,441090804,0.9999196785529251,commune
QP044014,441091006,0.9997718530079717,commune
QP044014,441090203,0.9997898197835501,commune
QP044014,441090202,0.9998738064164255,commune
QP044014,441090204,0.9998751737954558,commune
QP044014,441090804,0.9999196293661716,commune
QP044015,441091006,0.9997718262404908,commune
QP044015,441090203,0.9997897930160692,commune
QP044015,441090202,0.9998737796489446,commune
QP044015,441090204,0.9998751470279749,commune
QP044015,441090804,0.9999196025986907,commune
QP044017,441140107,0.9999653381023395,commune
QP044017,441140106,0.9999738314298384,commune
QP044018,441430201,0.9999533715885107,commune
QP044018,441430301,0.9999578203687893,commune
QP044018,441430701,0.9999588326928749,commune
QP044018,441430601,0.9999616617254534,commune
QP044018,441430702,0.9999636773058354,commune
QP044019,441620501,0.9998590971932899,commune
QP044019,441620502,0.999889962080266,commune
QP044019,441620505,0.9999394577768471,commune
QP044019,441620401,0.9999447749718864,commune
QP044019,441620603,0.9999511163703566,commune
QP045001,452850105,0.9995318990547675,commune
QP045001,452850106,0.9999388792321663,commune
QP045001,452850107,0.9999555841720666,commune
QP045001,452850103,0.9999601602822256,commune
QP045001,452850104,0.9999613697184129,commune
QP045002,450680105,0.9996816180404154,commune
QP045002,450680103,0.99985776785581,commune
QP045002,450680104,0.9998997117726312,commune
QP045002,450680102,0.9999330505322626,commune
QP045003,450680105,0.9996866459030496,commune
QP045003,450680103,0.9998627957184442,commune
QP045003,450680104,0.9999047396352653,commune
QP045003,450680102,0.9999380783948967,commune
QP045004,452080101,0.9997391247187911,commune
QP045004,452080104,0.9998699478567702,commune
QP045004,452080107,0.9998964679921711,commune
QP045004,452080103,0.9999501260292627,commune
QP045004,452080106,0.9999566229379618,commune
QP045005,450680105,0.9996868663359356,commune
QP045005,450680103,0.9998630161513302,commune
QP045005,450680104,0.9999049600681513,commune
QP045005,450680102,0.9999382988277827,commune
QP045006,451470302,0.9999223236070215,commune
QP045006,451470102,0.9999525014620521,commune
QP045006,451470401,0.9999686345261025,commune
QP045007,451470302,0.9999224237303187,commune
QP045007,451470102,0.9999526015853493,commune
QP045007,451470401,0.9999687346493997,commune
QP045008,451470302,0.9999223311756499,commune
QP045008,451470102,0.9999525090306804,commune
QP045008,451470401,0.9999686420947309,commune
QP045009,452340603,0.9995860885183908,commune
QP045009,452341901,0.9996408820147344,commune
QP045009,452341902,0.9996892493255032,commune
QP045009,452342001,0.9997319130373983,commune
QP045009,452340602,0.9997689275816515,commune
QP045010,452340603,0.999586151666397,commune
QP045010,452341901,0.9996409451627406,commune
QP045010,452341902,0.9996893124735093,commune
QP045010,452342001,0.9997319761854044,commune
QP045010,452340602,0.9997689907296576,commune
QP045011,452340603,0.9995857868801797,commune
QP045011,452341901,0.9996405803765234,commune
QP045011,452341902,0.9996889476872921,commune
QP045011,452342001,0.9997316113991872,commune
QP045011,452340602,0.9997686259434404,commune
QP045012,452340603,0.9995858279798229,commune
QP045012,452341901,0.9996406214761665,commune
QP045012,452341902,0.9996889887869352,commune
QP045012,452342001,0.9997316524988303,commune
QP045012,452340602,0.9997686670430835,commune
QP045013,452840202,0.9999118699548345,commune
QP045013,452840101,0.999949683768252,commune
QP045013,452840102,0.9999591484498822,commune
QP045013,452840302,0.9999602816167447,commune
QP045013,452840201,0.9999620211745341,commune
QP045014,452850105,0.9995317077871964,commune
QP045014,452850106,0.9999386879645952,commune
QP045014,452850107,0.9999553929044955,commune
