IRIS,pop_2013,pop_2018,evol_pop_pct
081050901,1870.3885322192195,2042.14574594535,9.182969782344653
081050902,1574.493278376667,1403.20755827218,-10.878783825681737
084090102,1936.7959434756733,1733.5553141019,-10.493652160849132
084090401,2256.143289150395,2126.44583209665,-5.748635633093391
084090402,1603.105777123664,1544.62561527868,-3.6479290811309184
084090501,1572.3466764033617,1437.11134954618,-8.600859396130344
084090502,1266.8302563768252,845.363980170507,-33.26935665491012
092250102,2173.5154527815807,2377.66140500506,9.392431600254824
092250104,2577.8611682282726,2354.79902976255,-8.652992690798389
092250105,1872.7759637033007,1838.74958330444,-1.8168954033121798
092250106,2165.6157353574404,1788.72514358638,-17.403391821442117
092250107,3325.220566973275,3722.09446885995,11.935265462643363
100810101,1172.2632426642087,1212.23276432511,3.4096029122317573
100810102,1527.568162541647,1690.48289768855,10.664973200006811
100810201,1733.0821040566714,1795.82858241738,3.6205138933600667
100810203,2587.3757310729657,1910.27339352256,-26.169463113485126
100810205,2396.6841882718063,2166.49477184171,-9.604495141935255
103230101,2533.5503508984657,2604.98441109933,2.8195240002051536
103230102,3000.41216694947,3140.26532137727,4.661131426153009
103230104,2594.1346968008625,2469.42493795664,-4.8073740734441035
103230201,2499.2744823983026,2503.26278061507,0.15957823939931615
103230202,2519.732811765587,2469.28018721941,-2.002300573719351
103330101,1157.2959270414528,1458.94755133002,26.065210914525426
103330102,2266.0560182365903,2521.21448586024,11.26002471122538
103330103,2091.4443429317903,2287.14673165034,9.357284088383322
103330201,2844.000312105223,2909.52102758975,2.3038223732129604
103330202,3411.2033996849405,3404.17020356965,-0.20617932416284734
103870301,2333.2731395510064,2140.73130720741,-8.252005694483222
103870302,2403.562253474255,2542.61081562804,5.785103421090754
103870801,2556.988430296052,2463.88872816797,-3.640990355099205
103871001,1800.769244959758,2028.58887631624,12.651239574095086
103871002,2095.205634185653,2073.91623958366,-1.0161004845840482
103871003,1932.631793603036,1879.34156754219,-2.757391565079048
103871104,2393.9557554262483,2401.830294008,0.3289341736539164
110690102,1894.177946893146,1910.52223208331,0.8628695744754111
110690103,1801.3588443564158,1866.47440957452,3.6148025376569803
110690301,3156.7338077746585,3585.3957462957,13.579286839621973
110690302,3094.8997873763533,3174.60076604842,2.5752361674893587
110690401,1866.7603452015944,1762.49008330251,-5.585626573175584
112030102,3656.626281211132,3679.48615013927,0.625162846025562
112030104,1986.5650990478855,2083.78895757413,4.894068589689904
112030106,2779.901765136828,2512.89035032971,-9.605066558673004
112060101,1920.435362874647,2007.36863102348,4.526747935879771
112060102,1872.7625709429417,1895.20383521668,1.1982973507655759
112060103,3784.251891474632,3645.50226881061,-3.666500715150711
112060104,2588.5501747077774,2563.92526494924,-0.9513012341480831
112620101,2151.713567761122,2712.88938237985,26.080414374234607
112620102,1902.41481525911,2102.66635909981,10.526176637949792
112620201,1798.1094742579098,2054.64221254329,14.266803103924076
112620301,2593.535292819623,2568.4463430355,-0.9673648881348806
112620503,1854.122421295348,1488.28623898305,-19.730961564917237
121760201,1899.6932817698216,2282.95219897442,20.174778785738546
121760301,3377.0950687101054,3596.66301549738,6.501680951230648
123000102,2397.920608188788,2277.34664571609,-5.028271664247075
123000103,1506.6131388472195,1350.25889472031,-10.377862776807012
123000104,2051.769236424498,2159.76243205509,5.263418210655368
123000105,1917.2178571261047,1805.66845962739,-5.818295353556035
123000106,2395.776074591385,2679.15757511871,11.828380103330716
130010102,2863.947285959539,2771.21873895396,-3.237788190452362
130010104,2824.778584973298,2662.41289054853,-5.7479087135710145
130010105,2633.9385086072007,2388.22729596637,-9.328661691907158
130010306,2205.259998075549,2218.78419843984,0.6132701076559277
130010403,1888.2120460163328,2097.78373284255,11.098948726037538
130040101,2267.6124297463903,2164.46028285315,-4.548931975327752
130040102,1848.744562368267,1900.34230366597,2.7909610850514355
130040103,2147.165282455786,1901.13987302122,-11.458149563278075
130040105,2118.1168603354254,2186.3467766138,3.2212536312831164
130040113,2247.5355005377305,1970.26846688459,-12.336491841254716
130050101,2644.473309926196,2696.6323191774,1.9723779799713403
130050102,3722.984462704681,3758.54675642675,0.9552092972269222
130050301,2555.840375281878,2515.44574909187,-1.5804831389578888
130050402,2324.662621847956,2251.61407142184,-3.1423291164739853
130050502,2126.4535609542954,2265.11600140516,6.5208308799669545
130140102,2918.229826931708,2840.47873057709,-2.6643239554701936
130140103,3467.544868976955,3384.1211957053,-2.40584264728686
130140104,2734.101382660608,2434.46772372128,-10.959127589034345
130140106,2044.669320448856,2282.44338998131,11.628974287160343
130270101,2901.461772210877,2911.58882703301,0.3490328536852161
130270102,3108.809847699752,2794.43240486788,-10.112469344642738
130270103,2654.9388699906167,2671.85727346719,0.6372426750689497
130270105,2349.4277984652526,2381.25447362791,1.3546564479848255
130270106,2682.631810186148,2981.98351751843,11.158881595141823
130410101,1840.8529179770328,2049.94336595645,11.358346228398997
130410102,2574.517917243557,3031.32500621281,17.7434029846776
130410103,2441.198861336963,2476.45637338398,1.4442703790099154
130410106,3281.548788330904,3614.08919882785,10.133642128968212
130410107,2582.0358594883705,2778.12000911017,7.59416833431017
130470102,2605.279539363376,2483.47297431528,-4.675374108908881
130470103,2501.111802953597,2436.18540960048,-2.5959012818397187
130470106,2401.071337639667,2226.00096108061,-7.291344235159503
130470111,2169.196855971941,2241.98427919779,3.355501047563303
130470116,4099.479891059281,4009.73871864721,-2.1890867816620085
130540106,1830.4073057104824,1777.46072323856,-2.892612059990163
130540108,3747.2311696772185,3713.52761172066,-0.8994256407047763
130540111,2476.2521786766183,2366.28600942808,-4.440830792415795
130540112,1611.5469010680276,1535.3228769584,-4.729866940832528
130540115,2655.897617492335,2619.88497840935,-1.3559498244886337
130560105,1287.961413676185,1489.86674314208,15.676349254097865
130560106,3216.0681289224767,3180.16173279678,-1.116468765160361
130560108,3045.86066876541,3115.40962740498,2.2833926499914448
130560109,1773.151417240797,1801.12850010523,1.5778169079304183
130560118,2689.16512222983,2640.78722165562,-1.798993307413399
130630102,2519.4377366833287,2453.74345550412,-2.6074977056464554
130630103,2993.857632084511,2622.65210534009,-12.398903767710701
130630105,2069.193678650496,2130.70608248065,2.9727716870984855
130630106,2856.9468665196105,3096.47475854918,8.384051339441513
130630109,2965.0873817316688,3361.40532050021,13.366147021848773
130770101,3006.3779233211008,2966.81686169583,-1.3159044748960902
130770102,1842.4836965530612,1830.33343526729,-0.659450138337836
130770103,1570.706720244879,1472.44864601791,-6.255660140783648
130770104,2188.2737970798607,1710.05031415902,-21.853914421449705
130770105,2449.247696969019,2367.32871602325,-3.344658894530972
131030101,2756.4904079189005,2684.90475786455,-2.596985276955721
131030103,2491.530714015964,2607.44031722377,4.652144264397906
131030104,2479.2619520112253,2334.35462042269,-5.844776969653553
131030105,1552.2919502198088,1745.33793801861,12.436190741790899
131030108,2534.385151313569,2539.01090128489,0.18251961304789344
131060101,2646.4332904055223,2561.2519043419,-3.218724098296444
131060102,2439.072913833677,2912.72642249334,19.41940751230704
