code,nom_qp,insee_com,lib_com
QP093042,Saint-Rémy - Joliot Curie - Bel Air,93066,Saint-Denis
QP093043,Langevin - Lavoisier - Tartres - Allende,93059; 93066,Pierrefitte-sur-Seine; Saint-Denis
QP093044,Cordon,93070,Saint-Ouen-sur-Seine
QP093045,Michelet - Les Puces - Debain,93070,Saint-Ouen-sur-Seine
QP093046,Vieux Saint-Ouen,93070,Saint-Ouen-sur-Seine
QP093047,Pasteur - Arago - Zola,93070,Saint-Ouen-sur-Seine
QP093048,Centre Elargi,93072,Stains
QP093049,Quartier Politique De La Ville,93079,Villetaneuse
QP093008,La Capsulerie,93006,Bagnolet
QP093009,Le Plateau - Les Malassis - La Noue,93006; 93048,Bagnolet; Montreuil
QP093010,Les Courtillières - Pont-De-Pierre,93008; 93055,Bobigny; Pantin
QP093011,Quartier Salengro - Gaston Roulaud - Centre Ville,93008; 93029,Bobigny; Drancy
QP093012,Blanqui,93010,Bondy
QP093014,Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud,93007; 93008; 93010; 93053,Le Blanc-Mesnil; Bobigny; Bondy; Noisy-le-Sec
QP093015,Trois Communes - Fabien,93048; 93053; 93063,Montreuil; Noisy-le-Sec; Romainville
QP093016,Branly - Boissière,93048; 93053,Montreuil; Noisy-le-Sec
QP093018,Bel Air - Grands Pêchers - Ruffins - Le Morillon,93048,Montreuil
QP093019,Jean Moulin - Espoir,93048,Montreuil
QP093020,Béthisy,93053,Noisy-le-Sec
QP093021,Le Londeau,93053,Noisy-le-Sec
QP093022,La Boissière,93053,Noisy-le-Sec
QP093023,Sept Arpents - Stalingrad,93055,Pantin
QP093024,Quatre Chemins,93055,Pantin
QP093025,Marcel Cachin,93063,Romainville
QP093026,Quartier de L'Horloge,93063,Romainville
QP093027,Gagarine,93063,Romainville
QP093001,Secteur Gare - Aviatic,93013,Le Bourget
QP093002,Secteur Saint-Nicolas - Guynemer - Gai Logis,93013,Le Bourget
QP093004,Quartier Avenir Parisien,93029,Drancy
QP093005,Quartiers La Muette - Village Parisien,93008; 93029,Bobigny; Drancy
QP093006,Quartiers Economie - Les Oiseaux,93007; 93029,Le Blanc-Mesnil; Drancy
QP093007,Thorez - Larivière - Langevin - Moulin - Allende,93030,Dugny
QP093003,Haut Clichy - Centre Ville - Bosquets - Lucien Noel,93014; 93047,Clichy-sous-Bois; Montfermeil
QP093050,Rougemont,93005; 93071,Aulnay-sous-Bois; Sevran
QP093051,Montceleux - Pont Blanc,93071,Sevran
QP093052,Parc De La Noue - Picasso - Pasteur - Europe - Merisiers,93078,Villepinte
QP093053,Tremblay Grand Ensemble,93073,Tremblay-en-France
QP093054,Les Beaudottes,93005,Aulnay-sous-Bois
QP093055,Secteur Nord Pont-Yblon,93007; 93030,Le Blanc-Mesnil; Dugny
QP093056,Jean Moulin - Jean Bouin,93032,Gagny
QP093057,Les Peupliers,93032,Gagny
QP093058,Val Coteau,93050,Neuilly-sur-Marne
QP093059,Mont d'Est - Palacio,93051,Noisy-le-Grand
QP093060,Pavé-Neuf,93051,Noisy-le-Grand
QP093061,Champy - Hauts Bâtons,93051,Noisy-le-Grand
QP093017,Boissière - Saussaie-Beauclair,93064,Rosny-sous-Bois
QP093062,Pré-Gentil,93064,Rosny-sous-Bois
QP093063,Marnaudes - Bois-Perrier,93064,Rosny-sous-Bois
QP093013,Marnaudes - Fosse Aux Bergers - La Sablière,93010; 93077,Bondy; Villemomble
QP094004,Chantereine,94002,Alfortville
QP094005,Mont Mesly - La Habette - Coteaux Du Sud,94028,Créteil
QP094006,Petit Pré - Sablières,,
QP094007,Les Bleuets,94028,Créteil
QP094002,Irlandais - Paul Vaillant Couturier - Cherchefeuille,94003,Arcueil
QP094015,Péri - Schuman  Bergonié,94037; 94043,Gentilly; Le Kremlin-Bicêtre
QP094016,Chaperon Vert,94003; 94037,Arcueil; Gentilly
QP094017,Jardins Parisiens,94038,L'Haÿ-les-Roses
QP094018,Lallier,94021; 94038,Chevilly-Larue; L'Haÿ-les-Roses
QP094019,Jardins Parisiens - Stade,94038,L'Haÿ-les-Roses
QP094020,Alexandre Dumas,94076,Villejuif
QP094021,Lebon - Hochart - Mermoz (Lozaits Sud),94038; 94076,L'Haÿ-les-Roses; Villejuif
QP094022,Lozaits Nord - Grimau - Armand Gouret,94076,Villejuif
QP094042,Cité Jardins,,
QP094003,La Haie Griselle - La Hêtraie,94004; 94044,Boissy-Saint-Léger; Limeil-Brévannes
QP094001,Pierre Et Marie Curie,94041,Ivry-sur-Seine
QP094008,Gagarine,94041,Ivry-sur-Seine
QP094009,Ivry Port,94041,Ivry-sur-Seine
QP094010,Monmousseau,94041,Ivry-sur-Seine
QP094011,Colonel Fabien,94081,Vitry-sur-Seine
QP094012,Centre Ville : Defresne - Vilmorin - Robespierre,94081,Vitry-sur-Seine
QP094013,Commune De Paris - 8 Mai 1945,94081,Vitry-sur-Seine
QP094014,Balzac,,
QP094032,Quartier Sud,94022,Choisy-le-Roi
QP094023,Fabien,94011,Bonneuil-sur-Marne
QP094024,Les Quatre Cités,94017,Champigny-sur-Marne
QP094025,L'Egalité,94017,Champigny-sur-Marne
QP094026,Les Mordacs,94017,Champigny-sur-Marne
QP094027,Le Bois L'Abbé,94017; 94019,Champigny-sur-Marne; Chennevières-sur-Marne
QP094028,Le Plateau,94017,Champigny-sur-Marne
QP094029,La Redoute (Le Fort-Michelet),94033,Fontenay-sous-Bois
QP094030,Les Larris,94033,Fontenay-sous-Bois
QP094031,Quartier Est,94054,Orly
QP094033,Rives De La Marne,94068,Saint-Maur-des-Fossés
QP094034,Les Grands Champs,,
QP094035,Polognes-Centre Ville - Le Plateau - Saint-Martin,94044; 94074; 94078,Limeil-Brévannes; Valenton; Villeneuve-Saint-Georges
QP094036,Lutèce- Bergerie,94074,Valenton
QP094037,Centre Ville,94078,Villeneuve-Saint-Georges
QP094038,Le Quartier Nord,94078,Villeneuve-Saint-Georges
QP094039,Le Quartier Nord- Les Tours,94078,Villeneuve-Saint-Georges
QP094040,Triage,94078,Villeneuve-Saint-Georges
QP094041,Portes De Paris - Les Hautes-Noues,94079,Villiers-sur-Marne
QP095002,Justice - Butte Blanche,95018; 95063,Argenteuil; Bezons
QP095003,Champioux,95018,Argenteuil
QP095004,Brigadières - Henri Barbusse,95018; 95063,Argenteuil; Bezons
QP095005,Val D'Argent Nord,95018,Argenteuil
QP095006,Val D'Argent Sud,95018,Argenteuil
QP095007,Champagne,95018,Argenteuil
QP095008,Joliot Curie,95018,Argenteuil
QP095009,Centre Ville,95018,Argenteuil
QP095010,Delaune Masson Colomb,95063,Bezons
QP095032,Dame Blanche,95268,Garges-lès-Gonesse
QP095033,Lochères,95585,Sarcelles
QP095034,Carreaux - Fauconnière - Marronniers - Pôle Gare,95019; 95277; 95680,Arnouville; Gonesse; Villiers-le-Bel
QP095035,Saint Blin,95019; 95277,Arnouville; Gonesse
QP095036,Rosiers Chantepie,95585,Sarcelles
QP095037,Village - Mozart,95585,Sarcelles
QP095038,Village - Le Puits La Marlière - Derrière Les Murs De Monseigneur,95680,Villiers-le-Bel
QP095011,Axe Majeur - Horloge,95127,Cergy
QP095012,La Sébille,95127,Cergy
QP095013,Les Dix Arpents,95218,Éragny
QP095014,Le Moulinard,95476,Osny
QP095015,Marcouville,95500,Pontoise
QP095016,Louvrais,95500,Pontoise
QP095017,Chennevières - Parc Le Nôtre,95572,Saint-Ouen-l'Aumône
QP095018,Clos Du Roi,95323; 95637,Jouy-le-Moutier; Vauréal
QP095019,Les Toupets - Côte Des Carrières,95323; 95637,Jouy-le-Moutier; Vauréal
QP095039,Les Chênes,95219,Ermont
QP095022,Mare Des Noues,95219; 95252,Ermont; Franconville
QP095023,Montédour,95252,Franconville
QP095024,Les Naquettes,95306,Herblay-sur-Seine
QP095025,Les Frances,95424,Montigny-lès-Cormeilles
QP095026,Clos Saint Pierre Elargi,95488,Pierrelaye
QP095027,Bas Des Aulnaies - Carreaux Fleuris - Fontaine Bertin,95252; 95582,Franconville; Sannois
QP095028,Les Pins,95607,Taverny
QP095029,Les Sarments Et Les Nérins,95607,Taverny
QP095030,Cottage Elargi,95280,Goussainville
QP095031,Grandes Bornes Elargies,95280,Goussainville
QP095001,Noyer Crapaud,95598,Soisy-sous-Montmorency
QP095020,Les Lévriers,95427,Montmagny
QP095021,Centre Ville,95427,Montmagny
QP095041,Les Raguenets,95555,Saint-Gratien
QP095040,Le Village,95487,Persan
QP971001,Boissard-Morne Flory,97101,Les Abymes
QP971002,Vieux Bourg - Les Lauriers,97120; 97101,Pointe-à-Pitre; Les Abymes
QP971003,Grand Camp,97101,Les Abymes
QP971004,Cour Charneau-Raizet,97101,Les Abymes
QP971005,Raizet,97101,Les Abymes
QP971006,Bourg - Saint Robert - Cadet - Bois Raimbault- Jean Jaurès,97104,Baillif
QP971007,Bologne - Rivière Des Pères - Calebassier - Pintade - Chevalier Saint Georges - Mallian,97105,Basse-Terre
QP971008,Le Bourg,97107,Capesterre-Belle-Eau
QP971009,Sarlassone Petit Pérou,97107,Capesterre-Belle-Eau
QP971010,Bananier - Haute Plaine,,
QP971011,Champ Grille 2,97117,Le Moule
QP971012,Le Bourg,97117,Le Moule
QP971013,Mortenol,97120; 97101,Pointe-à-Pitre; Les Abymes
QP971014,Chemin Neuf Carénage Darboussier,97120; 97101,Pointe-à-Pitre; Les Abymes
QP971015,Le Bourg,97129,Sainte-Rose
QP971016,La Boucan,97129,Sainte-Rose
QP972001,Quartiers Ouest,97209,Fort-de-France
QP972002,Quartiers Sainte-Thérèse – Bon Air,97209,Fort-de-France
QP972003,Quartier Volga Plage,97209,Fort-de-France
