code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP093042,41.166666666666664,Saint-Rémy - Joliot Curie - Bel Air,93066,Saint-Denis
QP093043,42.36666666666667,Langevin - Lavoisier - Tartres - Allende,93059; 93066,Pierrefitte-sur-Seine; Saint-Denis
QP093044,37.233333333333334,Cordon,93070,Saint-Ouen-sur-Seine
QP093045,33.76666666666667,Michelet - Les Puces - Debain,93070,Saint-Ouen-sur-Seine
QP093046,37.233333333333334,Vieux Saint-Ouen,93070,Saint-Ouen-sur-Seine
QP093047,35.43333333333333,Pasteur - Arago - Zola,93070,Saint-Ouen-sur-Seine
QP093048,41.13333333333333,Centre Elargi,93072,Stains
QP093049,35.800000000000004,Quartier Politique De La Ville,93079,Villetaneuse
QP093050,40.4,Rougemont,93005; 93071,Aulnay-sous-Bois; Sevran
QP093051,37.333333333333336,Montceleux - Pont Blanc,93071,Sevran
QP093052,33.6,Parc De La Noue - Picasso - Pasteur - Europe - Merisiers,93078,Villepinte
QP093053,37.86666666666667,Tremblay Grand Ensemble,93073,Tremblay-en-France
QP093054,39.699999999999996,Les Beaudottes,93005,Aulnay-sous-Bois
QP093055,39.93333333333334,Secteur Nord Pont-Yblon,93007; 93030,Le Blanc-Mesnil; Dugny
QP093056,30.46666666666667,Jean Moulin - Jean Bouin,93032,Gagny
QP093057,34.699999999999996,Les Peupliers,93032,Gagny
QP093058,33.6,Val Coteau,93050,Neuilly-sur-Marne
QP093059,37.5,Mont d'Est - Palacio,93051,Noisy-le-Grand
QP093060,32.4,Pavé-Neuf,93051,Noisy-le-Grand
QP093061,29.0,Champy - Hauts Bâtons,93051,Noisy-le-Grand
QP093062,38.1,Pré-Gentil,93064,Rosny-sous-Bois
QP093063,29.066666666666666,Marnaudes - Bois-Perrier,93064,Rosny-sous-Bois
QP094001,36.53333333333333,Pierre Et Marie Curie,94041,Ivry-sur-Seine
QP094002,30.166666666666668,Irlandais - Paul Vaillant Couturier - Cherchefeuille,94003,Arcueil
QP094003,29.03333333333333,La Haie Griselle - La Hêtraie,94004; 94044,Boissy-Saint-Léger; Limeil-Brévannes
QP094004,43.800000000000004,Chantereine,94002,Alfortville
