unit_id,annee,traite,commune_cluster,revenu_median,taux_pauvrete,log_revenu
QPV_QP093055,2018,1,93007,14260.0,41.2,9.565213693968287
QPV_QP093055,2019,1,93007,14460.0,41.0,9.579141495712756
QPV_QP093055,2021,1,93007,15030.0,43.0,9.61780348274702
QPV_QP093060,2012,1,93051,14489.0,32.3,9.581145019820722
QPV_QP093060,2013,1,93051,14730.0,32.7,9.597641509456675
QPV_QP093060,2014,1,93051,14844.0,32.2,9.605351022180487
QPV_QP093060,2016,1,93051,14700.0,33.8,9.595602772766828
QPV_QP093060,2017,1,93051,15010.0,33.8,9.616471924627508
QPV_QP093060,2018,1,93051,15430.0,34.3,9.644068945357207
QPV_QP093060,2019,1,93051,16070.0,32.7,9.684709458731557
QPV_QP093060,2021,1,93051,16780.0,34.0,9.727942980021197
QPV_QP093061,2012,1,93051,15023.0,29.3,9.617337639062423
QPV_QP093061,2013,1,93051,15088.0,29.5,9.621655004873238
QPV_QP093061,2014,1,93051,15369.0,28.2,9.640107772607312
QPV_QP093061,2016,1,93051,15630.0,30.2,9.656947423415522
QPV_QP093061,2017,1,93051,15630.0,30.7,9.656947423415522
QPV_QP093061,2018,1,93051,15740.0,32.1,9.663960521971394
QPV_QP093061,2019,1,93051,16140.0,31.2,9.68905594182394
QPV_QP093061,2021,1,93051,,,
QPV_QP093063,2012,1,93064,15053.0,28.5,9.619332585860503
QPV_QP093063,2013,1,93064,14786.0,29.4,9.601436066117046
QPV_QP093063,2014,1,93064,15100.0,29.3,9.622450022803015
QPV_QP093063,2016,1,93064,15220.0,33.9,9.630365631415676
QPV_QP093063,2017,1,93064,15150.0,34.7,9.625755810937516
QPV_QP093063,2018,1,93064,15860.0,31.9,9.671555495188839
QPV_QP093063,2019,1,93064,15740.0,34.7,9.663960521971394
QPV_QP093063,2021,1,93064,15950.0,37.0,9.67721410821299
QPV_QP094005,2012,1,94028,13467.0,36.9,9.507997527450042
QPV_QP094005,2013,1,94028,14127.0,34.8,9.555843138911664
QPV_QP094005,2014,1,94028,13992.0,37.1,9.546241016698438
QPV_QP094005,2016,1,94028,14090.0,38.7,9.553220604892726
QPV_QP094005,2017,1,94028,14670.0,35.2,9.593559871137028
QPV_QP094005,2018,1,94028,14950.0,36.4,9.612466578818832
QPV_QP094005,2019,1,94028,15520.0,34.1,9.64988479373721
QPV_QP094005,2021,1,94028,15980.0,36.0,9.679093219320265
QPV_QP094006,2012,1,94028,14504.0,30.6,9.582179752434687
QPV_QP094006,2013,1,94028,15679.0,26.3,9.66007751636045
QPV_QP094006,2014,1,94028,16043.0,28.8,9.683027896351076
QPV_QP094006,2016,1,94028,16040.0,31.8,9.682840881420505
QPV_QP094006,2017,1,94028,15860.0,29.1,9.671555495188839
QPV_QP094006,2018,1,94028,17570.0,24.3,9.773948181181144
QPV_QP094006,2019,1,94028,17280.0,27.0,9.757305042358047
QPV_QP094006,2021,1,94028,,,
QPV_QP094007,2012,1,94028,15229.0,28.1,9.63095678385169
QPV_QP094007,2013,1,94028,15583.0,30.7,9.653935855445614
QPV_QP094007,2014,1,94028,15198.0,30.4,9.62891911922973
QPV_QP094007,2016,1,94028,14100.0,35.1,9.55393007636626
QPV_QP094007,2017,1,94028,15380.0,31.8,9.640823243059636
QPV_QP094007,2018,1,94028,15120.0,32.3,9.623773649733524
QPV_QP094007,2019,1,94028,15620.0,31.6,9.656307423393677
QPV_QP094007,2021,1,94028,,,
QPV_QP094008,2012,1,94041,14197.0,35.8,9.560785953663574
QPV_QP094008,2013,1,94041,14355.0,36.5,9.571853592555165
QPV_QP094008,2014,1,94041,14233.0,36.8,9.563318491070625
QPV_QP094008,2016,1,94041,14330.0,38.3,9.570110520822217
QPV_QP094008,2017,1,94041,14790.0,37.5,9.601706555704846
QPV_QP094008,2018,1,94041,15350.0,38.6,9.638870753015343
QPV_QP094008,2019,1,94041,15680.0,36.7,9.660141293904399
QPV_QP094008,2021,1,94041,16610.0,37.0,9.71776020260734
QPV_QP094011,2012,1,94081,14854.0,30.7,9.606024468229242
QPV_QP094011,2013,1,94081,14874.0,30.6,9.607370001263245
QPV_QP094011,2014,1,94081,14718.0,31.6,9.596826513486544
QPV_QP094011,2016,1,94081,14070.0,34.6,9.551800150108434
QPV_QP094011,2017,1,94081,14750.0,33.1,9.598998361767967
QPV_QP094011,2018,1,94081,15450.0,33.2,9.645364282325891
QPV_QP094011,2019,1,94081,14860.0,37.8,9.60642831827175
QPV_QP094011,2021,1,94081,,,
QPV_QP094012,2012,1,94081,14467.0,33.1,9.57962547262959
QPV_QP094012,2013,1,94081,14240.0,34.9,9.563810184965966
QPV_QP094012,2014,1,94081,14591.0,33.3,9.588160179264023
QPV_QP094012,2016,1,94081,14390.0,35.9,9.574288799881414
QPV_QP094012,2017,1,94081,14830.0,34.4,9.604407435131979
QPV_QP094012,2018,1,94081,14860.0,37.1,9.60642831827175
QPV_QP094012,2019,1,94081,14900.0,35.5,9.60911649193355
